학번,이름,학과,지도교수,학년,생년월일,연락처,주소,마일리지
202000036,김민승,수학과,김진,3,1994-07-07,011-7709-7034,전라남도 여수시 밤바다구,157
202200037,양희지,의예과,김유진,1,1996-11-30,011-4429-6148,서울특별시 용산구,32
202000038,이철수,컴퓨터공학과,전유진,3,1994-05-03,011-2709-7011,서울특별시 강남구,68
201900039,최진수,생명공학과,이종찬,4,1993-04-17,011-7709-7037,인천광역시 미추홀구,60
202200040,박수현,컴퓨터공학과,전유진,1,1996-10-24,011-3269-1470,서울특별시 종로구,23
202200041,박다은,경영정보학과,일태진,1,1996-11-20,011-0203-3324,서울특별시 영등포구,23
202000042,김정렬,약학과,강혜진,3,1994-08-21,011-2343-7865,서울특별시 동작구,76
202000043,김태수,간호학과,김유진,3,1994-11-23,011-3289-6537,강원도 춘천시 닭갈비구,33
201900044,이세영,수학과,김진,4,1993-06-05,011-9778-2479,경기도 부천시 미로구,23
202200045,양다은,수학과,김진,1,1996-06-04,011-9448-1480,경기도 성남시 수정구,24
202000046,주다빈,생물학화학융합학과,김혜원,3,1994-11-11,011-3378-2281,경기도 부천시,132
202000047,박성범,전자공학과,일호준,3,1994-10-11,011-9778-2482,경기도 수원시 팔달구,32
202200048,이석우,의예과,김태진,1,1996-05-28,011-5554-0528,인천광역시 서구,45
202200049,김민영,생명공학과,이종찬,1,1996-10-20,011-4585-6713,서울특별시 관악구,66
202100050,장효순,화학과,둘재현,2,1995-10-02,011-1234-7777,경상남도 창원시 마산합포구,45
202000051,김미리,컴퓨터공학과,전유진,3,1994-01-23,011-5391-4660,서울특별시 도봉구,12
201900052,남위정,전자공학과,일호준,4,1993-09-10,011-3721-0054,경기도 안산시 상록구,32
202200053,이예은,자동차공학과,사호준,1,1996-03-05,011-2425-1212,서울특별시 강남구,27
202100054,최수빈,통계학과,장희승,2,1995-06-01,011-4451-7560,대전광역시 유성구,64
202100055,임홍렬,방사선학과,최원범,2,1995-04-07,011-1122-3344,경기도 고양시 일산서구,75
201900056,우혜빈,의예과,김태진,4,1993-08-23,011-1235-1485,서울특별시 용산구,12
202200057,김도희,간호학과,김유진,1,1996-02-21,011-2436-2431,대전광역시 서구,25
202100058,이상우,통계학과,장희승,2,1995-10-11,011-2357-2353,인천광역시 서구,39
201900059,김대운,자동차공학과,사호준,4,1993-12-25,011-0123-0123,제주특별자치도 서귀포시 감귤구,99
202200060,김민지,컴퓨터공학과,전유진,1,1996-10-23,011-1202-1234,서울특별시 동작구,30
202200061,유윤우,간호학과,김유진,1,1996-07-07,011-3210-3210,대구광역시 달서구,45
202100062,유죠미,의예과,김태진,2,1995-12-15,011-0486-1215,서울특별시 싱가포르구,24
202200063,조민지,생명공학과,이종찬,1,1996-12-25,011-5447-9987,대전광역시 유성구,12
202200064,김다정,전자공학과,일호준,1,1996-07-21,011-6871-1821,경기도 고양시 일산서구,35
202200065,김채령,컴퓨터공학과,전유진,1,1996-12-25,011-4332-1234,서울특별시 강서구,54
202000066,류재준,생명공학과,이종찬,3,1994-04-28,011-4104-1224,경상북도 포항시 바다구,76
201900067,여소희,수학과,김진,4,1993-09-27,011-2376-2314,경기도 고양시 일산서구,89
202200068,정상기,치의학과,임시연,1,1996-02-16,011-4345-2352,경기도 부천시 미로구,33
202100069,유지혜,화학과,둘재현,2,1995-11-30,011-3253-8504,경기도 안산시 단원구,42
202000070,전예빈,컴퓨터공학과,전유진,3,1994-11-21,011-4354-2334,제주특별자치도 서귀포시 위니브구,15
202000071,최위빈,간호학과,김유진,3,1994-09-13,011-3890-2352,제주특별자치도 서귀포시 감귤구,43
202200072,김혜나,생명공학과,이종찬,1,1996-08-15,011-2351-6578,경기도 수원시 칠팔구,74
202000073,이혜은,간호학과,김유진,3,1994-05-10,011-2586-9999,제주특별자치도 서귀포시 한라구,36
202200074,김우진,수의예과,정재인,1,1996-09-02,011-3682-3823,서울특별시 송파구,89
202100075,김소준,생명공학과,이종찬,2,1995-11-30,011-1234-2532,충청북도 천안시 동남구,13
202100076,안정음,컴퓨터공학과,전유진,2,1995-05-12,011-5234-2563,경기도 수원시 팔달구,550
202090077,윤슬기,의예과,김태진,3,1994-04-14,011-1827-4850,인천광역시 연수구,63
202100078,류미희,물리학과,김영웅,2,1995-03-22,011-0005-1243,경기도 수원시 권선구,38
202000079,노지성,화학과,둘재현,3,1994-05-21,011-4362-2351,경기도 수원시 팔달구,59
202100080,조해용,경영정보학과,일태진,2,1995-11-30,011-1232-4214,경기도 안양시 동안구,84
202000081,이정화,간호학과,김유진,3,1994-12-25,011-5730-9213,대전광역시 동구,32
202200082,김강경,간호학과,김유진,1,1996-05-05,011-0232-7192,경기도 안산시 상록구,39
202100083,박진수,화학과,둘재현,2,1995-03-03,011-9620-2012,경기도 안양시 만안구,12
202200084,안예인,컴퓨터공학과,전유진,1,1996-07-18,011-7221-2818,부산광역시 사하구,94
201900085,박도현,전자공학과,일호준,4,1993-11-11,011-2232-2341,서울특별시 서초구,32
202200086,양회찬,의예과,정재인,1,1996-03-02,011-2324-2323,서울특별시 송파구,23
202000087,정한일,화학과,둘재현,3,1994-08-16,011-4321-4321,서울특별시 성북구,78
201900088,고정찬,전자공학과,일호준,4,1993-12-12,011-5326-8495,인천광역시 남동구,135
202000089,박지형,물리학과,김영웅,3,1994-04-23,011-3262-5689,경상북도 포항시 남구,205
201900090,정미경,전자공학과,일호준,4,1993-08-15,011-6790-1402,부산광역시 동래구,27
202000091,곽두원,간호학과,김유진,3,1994-03-25,011-3299-8786,서울특별시 송파구,205
202100092,이원범,치의학과,임시연,2,1995-05-20,011-4312-1132,서울특별시 성북구,21
201900093,조창식,식품영양학과,조용훈,4,1993-01-16,011-2221-9871,전라북도 전주시 완산구,215
202100094,이순창,통계학과,장희승,2,1995-10-12,011-3289-0973,부산광역시 북구,346
202200095,김소영,수학과,김진,1,1996-10-18,011-4528-1833,부산광역시 남구,362
202200096,김지현,로봇공학과,한재현,1,1996-11-14,011-3849-1387,서울특별시 양천구,104
202100097,장거한,생물학화학융합학과,김혜원,2,1995-12-07,011-0874-1943,경상북도 포항시 남구,23
202000098,박민희,로봇공학과,한재현,3,1994-12-14,011-3955-1267,부산광역시 수영구,43
202100099,송선영,식품영양학과,조용훈,2,1995-03-04,011-4732-3285,인천광역시 미추홀구,73
202200100,한혜지,생명공학과,이종찬,1,1996-05-04,011-1234-3479,광주광역시 북구,97
